"Line"	"Crop"	"PlantingDate"	"Rep"	"VideoDate"	"MeanFreq"	"MedianFreq"	"SdFreq"	"Hz0.5"	"Hz0.7"	"Hz0.9"	"Hz1.1"	"Hz1.3"	"Hz1.5"	"Hz1.7"	"Hz1.9"	"'Hz2.1"	"Hz2.3"	"Hz2.5"	"Hz2.7"	"Hz2.9"	"Hz3.1"	"Hz3.3"	"Hz3.5"	"Hz3.7"	"Hz3.9"	"Hz4.1"	"Hz4.3"	"Hz4.5"	"Position"
"17"	"Pinnacle"	"2row"	"1"	"B"	"07_10_17"	"1.56722266666667"	"1.4167"	"0.681458386057379"	"0.221404"	"2.517474"	"0.894187"	"0.854649"	"1.440232"	"1.408064"	"0.872397"	"2.388266"	"0.364725"	"0.41683"	"0"	"0.143409"	"0"	"0.155619"	"0"	"0"	"0.205516"	"0"	"0"	"0"	"0"	2
"18"	"REINS"	"oat"	"1"	"A"	"07_10_17"	"1.11448019417476"	"1.0417"	"0.495371309659023"	"1.480064"	"4.017054"	"2.615044"	"2.598772"	"1.267368"	"1.089301"	"0.16581"	"1.78495"	"0.171049"	"0.08017"	"0.178814"	"0.092821"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"19"	"REINS"	"oat"	"1"	"B"	"07_10_17"	"1.22916881578947"	"1.1667"	"0.603019551957131"	"1.346074"	"1.287092"	"0.518635"	"0.654519"	"0.533421"	"0.540423"	"0.141701"	"0.466776"	"1.01374"	"0.341054"	"0"	"0.261876"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"20"	"Shelly"	"wheat"	"1"	"A"	"07_10_17"	"1.762155625"	"1.5625"	"0.878434399177978"	"0.111138"	"0.092731"	"0.396902"	"1.779217"	"0.542236"	"0.13097"	"0.620628"	"0.344071"	"0.834925"	"0.287091"	"1.338523"	"0"	"0"	"0"	"0.098799"	"0.088084"	"0"	"0"	"0.13852"	"0"	"0.1582"	2
"21"	"Shelly"	"wheat"	"1"	"B"	"07_10_17"	"1.43506727272727"	"1.25"	"0.639791498914493"	"0.411184"	"0.282906"	"0.818992"	"2.999237"	"2.06984"	"0.534023"	"0.404545"	"0.297714"	"0.263867"	"0.176887"	"0.62051"	"0.06757"	"0"	"0"	"0"	"0.10113"	"0"	"0.11103"	"0"	"0"	"0"	1
"22"	"StellarND"	"6row"	"1"	"B"	"07_10_17"	"1.39557641975309"	"1.125"	"0.778375551803737"	"0.642858"	"1.359983"	"1.687068"	"0.687804"	"0.404271"	"1.86918"	"0.209502"	"0.868118"	"0.792652"	"0"	"0.246676"	"0"	"0.077717"	"0"	"0.09416"	"0"	"0.11629"	"0.10255"	"0"	"0.09705"	"0"	2
"23"	"Tradition"	"6row"	"1"	"A"	"07_10_17"	"1.13513621621622"	"1.0417"	"0.504676567320027"	"1.121709"	"1.954042"	"1.21684"	"0.791316"	"0.537789"	"0.743348"	"0.52611"	"0"	"0.980495"	"0.137512"	"0"	"0.060911"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"24"	"ACMetcalf"	"2row"	"1"	"A"	"07_11_17"	"1.49413"	"1.3333"	"0.751460469523942"	"0.345097"	"1.490504"	"0.819077"	"1.81335"	"1.422523"	"0.743968"	"0.370241"	"1.426831"	"0.984712"	"0"	"0.081518"	"0.094073"	"0"	"0"	"0"	"0"	"0"	"0.216899"	"0"	"0"	"0"	2
"25"	"Celebration"	"6row"	"1"	"A"	"07_11_17"	"1.28819369047619"	"1.1667"	"0.53312938407193"	"0.575386"	"1.247983"	"1.061193"	"0.856119"	"0.714194"	"0.964172"	"0.578364"	"2.19909"	"0.830974"	"0.349564"	"0.081131"	"0.085266"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"26"	"Conion"	"2row"	"1"	"A"	"07_11_17"	"1.51125972972973"	"1.39585"	"0.67402228802418"	"0.153739"	"1.023157"	"0.602476"	"1.231128"	"1.92668"	"0.934283"	"0.524248"	"1.145022"	"1.991852"	"0.1598"	"0.1619"	"0"	"0.23859"	"0.078278"	"0.092262"	"0"	"0"	"0"	"0"	"0"	"0.12429"	2
